Geographic Area,City,Median Income
IL,Donnellson village,32917
IL,Donovan village,40313
IL,Dorchester village,47656
IL,Dover village,35000
IL,Dowell village,22500
IL,Downers Grove village,83513
IL,Downs village,66563
IL,Du Bois village,45417
IL,Dunfermline village,43750
IL,Dunlap village,105313
IL,Dupo village,44351
IL,Du Quoin,29708
IL,Durand village,45078
IL,Dwight village,60049
IL,Eagarville village,46250
IL,Earlville,37381
IL,East Alton village,38235
IL,East Brooklyn village,45938
IL,East Cape Girardeau village,35167
IL,East Carondelet village,39688
IL,East Dubuque,40078
IL,East Dundee village,57813
IL,East Galesburg village,50938
IL,East Gillespie village,60909
IL,East Hazel Crest village,45353
IL,East Moline,43459
IL,Easton village,41250
IL,East Peoria,50877
IL,East St. Louis,19520
IL,Eddyville village,18125
IL,Edgewood village,39185
IL,Edinburg village,52188
IL,Edwardsville,71057
IL,Effingham,43760
IL,Elburn village,95708
IL,El Dara village,68583
IL,Eldorado,26344
IL,Eldred village,37321
IL,Elgin,60499
IL,Elizabeth village,38375
IL,Elizabethtown village,23906
IL,Elk Grove Village village,68527
IL,Elkhart village,57813
IL,Elkville village,37125
IL,Elliott village,52656
IL,Ellis Grove village,40588
IL,Ellisville village,36000
IL,Ellsworth village,68571
IL,Elmhurst,96486
IL,Elmwood,56319
IL,Elmwood Park village,56196
IL,El Paso,46893
IL,Elsah village,46563
IL,Elvaston village,40625
IL,Elwood village,58542
IL,Emden village,52143
IL,Emington village,39167
IL,Energy village,46625
IL,Enfield village,28571
IL,Equality village,41034
IL,Erie village,61481
IL,Essex village,62500
IL,Eureka,55337
IL,Evanston,70041
IL,Evansville village,44853
IL,Evergreen Park village,64385
IL,Ewing village,38542
IL,Exeter village,52917
IL,Fairbury,41958
IL,Fairfield,34596
IL,Fairmont CDP,46500
IL,Fairmont village,33365
IL,Fairmount village,40536
IL,Fairview village,55096
IL,Fairview Heights,59948
IL,Farina village,36719
IL,Farmer,50854
IL,Farmersville village,52188
IL,Farmington,52674
IL,Fayetteville village,46500
IL,Ferris village,37679
IL,Fidelity village,22188
IL,Fieldon village,46625
IL,Fillmore village,36250
IL,Findlay village,40179
IL,Fisher village,56420
IL,Fithian village,49844
IL,Flanagan village,49297
IL,Flat Rock village,43250
IL,Flora,38774
IL,Floraville CDP,-
IL,Florence village,19844
IL,Flossmoor village,94074
IL,Foosland village,38750
IL,Ford Heights village,21050
IL,Forest village,43750
IL,Forest Lake CDP,94375
IL,Forest Park village,51927
IL,Forest View village,52500
IL,Forrest village,52813
IL,Forreston village,50114
IL,Forsyth village,83534
IL,Fox Lake village,56208
IL,Fox Lake Hills CDP,65000
IL,Fox River Grove village,96102
IL,Frankfort village,111152
IL,Frankfort Square CDP,89763
IL,Franklin village,59583
IL,Franklin Grove village,53214
IL,Franklin Park village,55926
IL,Freeburg village,76786
IL,Freeman Spur village,49375
IL,Freeport,36302
IL,Fulton,52933
IL,Fults village,111250
IL,Gages Lake CDP,86370
IL,Galatia village,33661
IL,Galena,48537
IL,Galesburg,32962
IL,Galva,40896
IL,Garden Prairie CDP,(X)
IL,Gardner village,63636
IL,Garrett village,40313
IL,Gays village,44375
IL,Geneseo,58382
IL,Geneva,97926
IL,Genoa,53608
IL,Georgetown CDP,67143
IL,Georgetown,39750
IL,Germantown village,55000
IL,Germantown Hills village,103472
IL,German Valley village,60313
IL,Gibson,41450
IL,Gifford village,59000
IL,Gilberts village,110524
IL,Gillespie,40521
IL,Gilman,43413
IL,Gilson CDP,(X)
IL,Girard,39101
IL,Gladstone village,33750
IL,Glasford village,50515
IL,Glasgow village,51250
IL,Glen Carbon village,70225
IL,Glencoe village,180208
IL,Glendale Heights village,59947
IL,Glen Ellyn village,97039
IL,Glenview village,93240
IL,Glenwood village,54544
IL,Godfrey village,65145
IL,Godley village,55893
IL,Golconda,24926
IL,Golden village,44000
IL,Golden Gate village,(X)
IL,Golf village,161563
IL,Goodfield village,99286
IL,Good Hope village,51964
IL,Goofy Ridge CDP,15000
IL,Goreville village,43750
IL,Gorham village,33750
IL,Grafton,48750
IL,Grand Detour CDP,82875
IL,Grand Ridge village,55833
IL,Grand Tower,31250
IL,Grandview village,39063
IL,Grandwood Park CDP,97125
IL,Granite,45357
IL,Grantfork village,70625
IL,Grant Park village,60536
IL,Granville village,46172
IL,Grayslake village,81367
IL,Grayville,34145
IL,Greenfield,35417
IL,Green Oaks village,159402
IL,Greenup village,30699
IL,Green Valley village,50278
IL,Greenview village,50833
IL,Greenville,45320
IL,Greenwood village,58125
IL,Gridley village,63125
IL,Griggsville,38409
IL,Gulf Port village,51250
IL,Gurnee village,86849
IL,Hainesville village,85909
IL,Hamburg village,30417
IL,Hamel village,69844
IL,Hamilton,47165
IL,Hammond village,49545
IL,Hampshire village,93775
IL,Hampton village,68850
IL,Hanaford village,32750
IL,Hanna village,60169
IL,Hanover village,40938
IL,Hanover Park village,67650
IL,Hardin village,50694
IL,Harmon village,36250
IL,Harrisburg,33764
IL,Harrison CDP,38750
IL,Harristown village,64000
IL,Hartford village,41667
IL,Hartsburg village,47083
IL,Harvard,45689
IL,Harvel village,40556
IL,Harvey,22014
IL,Harwood Heights village,48174
IL,Havana,34557
IL,Hawthorn Woods village,152781
IL,Hazel Crest village,52134
IL,Hebron village,49500
IL,Hecker village,51250
IL,Henderson village,48542
IL,Hennepin village,61042
IL,Henning village,37083
IL,Henry,48984
IL,Heritage Lake CDP,98544
IL,Herrick village,30000
IL,Herrin,40046
IL,Herscher village,69650
IL,Hettick village,58281
IL,Heyworth village,72727
IL,Hickory Hills,58709
IL,Hidalgo village,56071
IL,Highland,53642
IL,Highland Park,122829
IL,Highwood,50750
IL,Hillcrest village,61364
IL,Hillsboro,48860
IL,Hillsdale village,46000
IL,Hillside village,50787
IL,Hillview village,46563
IL,Hinckley village,67045
IL,Hindsboro village,52000
IL,Hinsdale village,162722
IL,Hodgkins village,48750
IL,Hoffman village,51375
IL,Hoffman Estates village,84583
IL,Holiday Hills village,60625
IL,Holiday Shores CDP,81463
IL,Hollowayville village,70500
IL,Homer village,50474
IL,Homer Glen village,91257
IL,Hometown,45426
IL,Homewood village,68384
IL,Hoopeston,41362
IL,Hooppole village,34615
IL,Hopedale village,50333
IL,Hopewell village,76094
IL,Hopkins Park village,19417
IL,Hoyleton village,60694
IL,Hudson village,81458
IL,Huey village,40625
IL,Hull village,40647
IL,Humboldt village,46818
IL,Hume village,38393
IL,Huntley village,71394
IL,Hurst,30000
IL,Hutsonville village,48875
IL,Illiopolis village,50000
IL,Ina village,34583
IL,Indian Creek village,140313
IL,Indian Head Park village,81013
IL,Indianola village,50938
IL,Industry village,58000
IL,Ingalls Park CDP,57788
IL,Inverness village,161838
IL,Iola village,31250
IL,Ipava village,47143
IL,Iroquois village,44375
IL,Irving village,45167
IL,Irvington village,57143
IL,Irwin village,61250
IL,Island Lake village,69833
IL,Itasca village,76496
IL,Iuka village,40208
IL,Ivesdale village,47292
IL,Jacksonville,39458
IL,Jeffersonville village,35000
IL,Jeisyville village,41250
IL,Jerome village,44647
IL,Jerseyville,50232
IL,Jewett village,33750
IL,Johnsburg village,98879
IL,Johnsonville village,31071
IL,Johnston,31149
IL,Joliet,60976
IL,Jonesboro,43958
IL,Joppa village,31406
IL,Joy village,51250
IL,Junction village,41875
IL,Junction village,38750
IL,Justice village,50172
IL,Kampsville village,34375
IL,Kane village,33750
IL,Kaneville village,64792
IL,Kangley village,52500
IL,Kankakee,32402
IL,Kansas village,32313
IL,Kappa village,51964
IL,Karnak village,35938
IL,Kaskaskia village,(X)
IL,Keenes village,36250
IL,Keensburg village,43906
IL,Keithsburg,35417
IL,Kell village,44583
IL,Kempton village,55625
IL,Kenilworth village,203333
IL,Kenney village,51563
IL,Kewanee,38107
IL,Keyesport village,31477
IL,Kilbourne village,29375
IL,Kildeer village,154563
IL,Kincaid village,37316
IL,Kinderhook village,58281
IL,Kingston village,67344
IL,Kingston Mines village,43036
IL,Kinmundy,35385
IL,Kinsman village,39583
IL,Kirkland village,60000
IL,Kirkwood village,57857
IL,Knollwood CDP,82619
IL,Knoxville,48487
IL,Lacon,48359
IL,Ladd village,57303
IL,La Fayette village,34167
IL,La Grange village,102500
IL,La Grange Park village,75116
IL,La Harpe,36154
IL,Lake Barrington village,90938
IL,Lake Bluff village,145500
IL,Lake Camelot CDP,105795
IL,Lake Catherine CDP,66563
IL,Lake Forest,155792
IL,Lake Holiday CDP,77879
IL,Lake in the Hills village,84300
IL,Lake Ka-Ho village,35417
IL,Lakemoor village,78186
IL,Lake of the Woods CDP,37460
IL,Lake Petersburg CDP,76513
IL,Lake Summerset CDP,62593
IL,Lake Villa village,85234
IL,Lakewood village,119982
IL,Lakewood Shores CDP,55529
IL,Lake Zurich village,108669
IL,La Moille village,50875
IL,Lanark,50679
IL,Langleyville CDP,78088
IL,Lansing village,48949
IL,LaPlace CDP,(X)
IL,La Prairie village,45500
IL,La Rose village,32031
IL,LaSalle,41706
IL,Latham village,47917
IL,Lawrenceville,32488
IL,Leaf River village,31458
IL,Lebanon,64712
IL,Lee village,48750
IL,Leland village,53750
IL,Leland Grove,97656
IL,Lemont village,86043
IL,Lena village,55982
IL,Lenzburg village,36875
IL,Leonore village,44583
IL,Lerna village,47917
IL,Le Roy,59564
IL,Lewistown,42167
IL,Lexington,68224
IL,Liberty village,41964
IL,Libertyville village,115709
IL,Lily Lake village,102250
IL,Lima village,44625
IL,Limestone village,75400
IL,Lincoln,42683
IL,Lincolnshire village,102260
IL,Lincolnwood village,94329
IL,Lindenhurst village,85625
IL,Lisbon village,56250
IL,Lisle village,75373
IL,Litchfield,44547
IL,Littleton village,50156
IL,Little York village,43750
IL,Liverpool village,32188
IL,Livingston village,42583
IL,Loami village,43125
IL,Lockport,78522
IL,Loda village,42813
IL,Lomax village,30795
IL,Lombard village,69787
IL,London Mills village,43438
IL,Long Creek village,81029
IL,Long Grove village,188182
IL,Long Lake CDP,52353
IL,Long Point village,51094
IL,Longview village,43125
IL,Loraine village,38977
IL,Lostant village,55313
IL,Lost Nation CDP,67500
IL,Louisville village,38563
IL,Loves Park,50917
IL,Lovington village,48000
IL,Ludlow village,39583
IL,Lyndon village,52083
IL,Lynnville village,38750
IL,Lynwood village,49410
IL,Lyons village,44534
IL,McClure village,32917
IL,McCook village,43750
IL,McCullom Lake village,48750
IL,Macedonia village,38333
IL,McHenry,62625
IL,Machesney Park village,54655
IL,Mackinaw village,57188
IL,McLean village,64531
IL,McLeansboro,35476
IL,McNabb village,70833
IL,Macomb,31392
IL,Macon,45486
IL,Madison,22266
IL,Maeystown village,50417
IL,Magnolia village,45750
IL,Mahomet village,90304
IL,Makanda village,70833
IL,Malden village,34286
IL,Malta village,56667
IL,Manchester village,51000
IL,Manhattan village,81445
IL,Manito village,58295
IL,Manlius village,29737
IL,Mansfield village,45000
IL,Manteno village,62656
IL,Maple Park village,62261
IL,Mapleton village,54583
IL,Maquon village,48250
IL,Marengo,57955
IL,Marietta village,43792
IL,Marine village,54545
IL,Marion,42839
IL,Marissa village,40714
IL,Mark village,43558
IL,Markham,34433
IL,Maroa,48958
IL,Marquette Heights,66875
IL,Marseilles,37589
IL,Marshall,46161
IL,Martinsville,38565
IL,Martinton village,54688
IL,Maryville village,80500
IL,Mascoutah,70366
IL,Mason town,40313
IL,Mason,35735
IL,Matherville village,44233
IL,Matteson village,76638
IL,Mattoon,37607
IL,Maunie village,38750
IL,Maywood village,42298
IL,Mazon village,62143
IL,Mechanicsburg village,47969
IL,Media village,58333
IL,Medora village,43438
IL,Melrose Park village,45459
IL,Melvin village,43462
IL,Mendon village,51136
IL,Mendota,43406
IL,Menominee village,66750
IL,Meredosia village,35000
IL,Merrionette Park village,46016
IL,Metamora village,52203
IL,Metcalf village,26875
IL,Metropolis,31875
IL,Mettawa village,131719
IL,Middletown village,43750
IL,Midlothian village,62351
IL,Milan village,39795
IL,Milford village,37604
IL,Millbrook village,86250
IL,Mill Creek village,90000
IL,Milledgeville village,51667
IL,Millington village,63958
IL,Mill Shoals village,38750
IL,Millstadt village,66492
IL,Milton village,43125
IL,Mineral village,36250
IL,Minier village,50000
IL,Minonk,50776
IL,Minooka village,80810
IL,Mitchell CDP,47793
IL,Modesto village,47083
IL,Mokena village,100100
IL,Moline,49528
IL,Momence,60441
IL,Monee village,71959
IL,Monmouth,36067
IL,Monroe Center village,73333
IL,Montgomery village,79085
IL,Monticello,71859
IL,Montrose village,36477
IL,Morris,56750
IL,Morrison,44577
IL,Morrisonville village,53672
IL,Morton village,72855
IL,Morton Grove village,75166
IL,Mound,25515
IL,Mounds,20227
IL,Mound Station village,67813
IL,Mount Auburn village,52941
IL,Mount Carmel,40616
IL,Mount Carroll,39870
IL,Mount Clare village,38750
IL,Mount Erie village,39375
IL,Mount Morris village,41733
IL,Mount Olive,48843
IL,Mount Prospect village,69520
IL,Mount Pulaski,56250
IL,Mount Sterling,40517
IL,Mount Vernon,36218
IL,Mount Zion village,70000
IL,Moweaqua village,50234
IL,Muddy village,38125
IL,Mulberry Grove village,41250
IL,Mulkeytown CDP,(X)
IL,Muncie village,40833
IL,Mundelein village,76750
IL,Murphysboro,36098
IL,Murrayville village,36875
IL,Naperville,109468
IL,Naplate village,44063
IL,Naples town,41250
IL,Nashville,45806
IL,Nason,28472
IL,Nauvoo,46406
IL,Nebo village,30192
IL,Nelson village,40000
IL,Neoga,31141
IL,Neponset village,51319
IL,Newark village,76500
IL,New Athens village,56389
IL,New Baden village,64702
IL,New Bedford village,51250
IL,New Berlin village,67692
IL,New Boston,40952
IL,New Burnside village,40179
IL,New Canton town,38750
IL,New Douglas village,56563
IL,New Grand Chain village,46250
IL,New Haven village,35809
IL,New Holland village,52000
IL,New Lenox village,99393
IL,Newman,42344
IL,New Milford village,55000
IL,New Minden village,49250
IL,New Salem village,28125
IL,Newton,40417
IL,Niantic village,54545
IL,Niles village,51660
IL,Nilwood town,45625
IL,Noble village,40341
IL,Nokomis,39506
IL,Nora village,51875
IL,Normal town,52102
IL,Norridge village,58209
IL,Norris village,36250
IL,Norris village,37000
IL,North Aurora village,78948
IL,North Barrington village,151250
IL,Northbrook village,118480
IL,North Chicago,41250
IL,North village,55052
IL,Northfield village,96989
IL,North Henderson village,40938
IL,Northlake,53170
IL,North Pekin village,51964
IL,North Riverside village,59821
IL,North Utica village,55833
IL,Norwood village,51250
IL,Oak Brook village,132778
IL,Oakbrook Terrace,68167
IL,Oakdale village,51667
IL,Oakford village,44375
IL,Oak Forest,69866
IL,Oak Grove village,26944
IL,Oakland,44519
IL,Oak Lawn village,56185
IL,Oak Park village,80196
IL,Oak Run CDP,64722
IL,Oakwood village,50048
IL,Oakwood Hills village,81161
IL,Oblong village,37131
IL,Oconee village,42000
IL,Odell village,54489
IL,Odin village,41618
IL,O'Fallon,76722
IL,Ogden village,67679
IL,Oglesby,52611
IL,Ohio village,55625
IL,Ohlman village,43750
IL,Okawville village,61724
IL,Old Mill Creek village,101250
IL,Old Ripley village,34375
IL,Old Shawneetown village,19375
IL,Olive Branch CDP,35577
IL,Olivet CDP,53571
IL,Olmsted village,32273
IL,Olney,36627
IL,Olympia Fields village,91895
IL,Omaha village,35000
IL,Onarga village,41010
IL,Oneida,60556
IL,Opdyke CDP,46354
IL,Oquawka village,38932
IL,Orangeville village,43333
IL,Oreana village,50543
IL,Oregon,42120
IL,Orient,36250
IL,Orion village,59539
IL,Orland Hills village,72500
IL,Orland Park village,81453
IL,Oswego village,96825
IL,Ottawa,46477
IL,Otterville town,23438
IL,Owaneco village,42500
IL,Paderborn CDP,-
IL,Palatine village,71573
IL,Palestine village,35855
IL,Palmer village,46875
IL,Palmyra village,35625
IL,Palos Heights,78727
IL,Palos Hills,55666
IL,Palos Park village,77546
IL,Pana,32399
IL,Panama village,40000
IL,Panola village,69167
IL,Papineau village,81875
IL,Paris,37280
IL,Park,42099
IL,Parkersburg village,36042
IL,Park Forest village,44040
IL,Park Ridge,90484
IL,Patoka village,42778
IL,Pawnee village,60345
IL,Paw Paw village,44659
IL,Paxton,49072
IL,Payson village,45170
IL,Pearl village,21750
IL,Pearl village,50250
IL,Pecatonica village,52500
IL,Pekin,48862
IL,Penfield CDP,61042
IL,Peoria,45552
IL,Peoria Heights village,47188
IL,Peotone village,78506
IL,Percy village,35139
IL,Perry village,28542
IL,Peru,46126
IL,Pesotum village,60250
IL,Petersburg,36071
IL,Phillipstown village,(X)
IL,Philo village,73828
IL,Phoenix village,31117
IL,Pierron village,32917
IL,Pinckneyville,38631
IL,Pingree Grove village,76258
IL,Piper village,43750
IL,Pistakee Highlands CDP,61210
IL,Pittsburg village,35625
IL,Pittsfield,38958
IL,Plainfield village,111521
IL,Plainville village,45208
IL,Plano,53338
IL,Plattville village,95156
IL,Pleasant Hill village,40625
IL,Pleasant Plains village,62917
IL,Plymouth village,38173
IL,Pocahontas village,39053
IL,Polo,42361
IL,Pontiac,47805
IL,Pontoon Beach village,45304
IL,Pontoosuc village,42969
IL,Poplar Grove village,57404
IL,Port Barrington village,114750
IL,Port Byron village,74792
IL,Posen village,47310
IL,Potomac village,43625
IL,Prairie village,36563
IL,Prairie du Rocher village,43056
IL,Prairie Grove village,109875
IL,Prestbury CDP,108750
IL,Preston Heights CDP,47330
IL,Princeton,44722
IL,Princeville village,51618
IL,Prophetstown,43250
IL,Prospect Heights,61442
IL,Pulaski village,19750
IL,Quincy,40850
IL,Radom village,40625
IL,Raleigh village,41500
IL,Ramsey village,39438
IL,Rankin village,35833
IL,Ransom village,53333
IL,Rantoul village,38769
IL,Rapids village,83177
IL,Raritan village,55000
IL,Raymond village,43194
IL,Red Bud,60511
IL,Reddick village,62250
IL,Redmon village,50313
IL,Rentchler CDP,-
IL,Reynolds village,52813
IL,Richmond village,47250
IL,Richton Park village,53132
IL,Richview village,38438
IL,Ridge Farm village,44844
IL,Ridgway village,36458
IL,Ridott village,39792
IL,Ringwood village,94167
IL,Rio village,57614
IL,Ripley village,36250
IL,Riverdale village,32301
IL,River Forest village,99250
IL,River Grove village,46514
IL,Riverside village,97727
IL,Riverton village,55602
IL,Riverwoods village,174145
IL,Roanoke village,54122
IL,Robbins village,23614
IL,Roberts village,33846
IL,Robinson,43563
IL,Rochelle,42819
IL,Rochester village,92188
IL,Rockbridge village,37059
IL,Rock village,51750
IL,Rockdale village,54083
IL,Rock Falls,35361
IL,Rockford,38716
IL,Rock Island,41243
IL,Rock Island Arsenal CDP,57321
IL,Rockton village,72925
IL,Rockwood village,44107
IL,Rolling Meadows,62299
IL,Rome CDP,56250
IL,Romeoville village,70471
IL,Roodhouse,31840
IL,Roscoe village,74093
IL,Rose Hill village,28750
IL,Roselle village,77650
IL,Rosemont village,48110
IL,Roseville village,42406
IL,Rosewood Heights CDP,52854
IL,Rosiclare,19955
IL,Rossville village,49348
IL,Round Lake village,72659
IL,Round Lake Beach village,61159
IL,Round Lake Heights village,60403
IL,Round Lake Park village,42355
IL,Roxana village,45076
IL,Royal village,66667
IL,Royal Lakes village,36875
IL,Royalton village,34250
IL,Ruma village,46750
IL,Rushville,40278
IL,Russellville village,40625
IL,Rutland village,40313
IL,Sadorus village,58750
IL,Sailor Springs village,31750
IL,St. Anne village,43981
IL,St. Augustine village,42500
IL,St. Charles,86150
IL,St. David village,41932
IL,St. Elmo,32708
IL,Ste. Marie village,47500
IL,St. Francisville,32045
IL,St. Jacob village,80750
IL,St. Johns village,50156
IL,St. Joseph village,68365
IL,St. Libory village,63750
IL,St. Peter village,37813
IL,Salem,37972
IL,Sammons Point village,56667
IL,Sandoval village,29097
IL,Sandwich,56261
IL,San Jose village,52500
IL,Sauget village,47969
IL,Sauk Village village,41970
IL,Saunemin village,43125
IL,Savanna,33203
IL,Savoy village,66583
IL,Sawyerville village,40536
IL,Saybrook village,54688
IL,Scales Mound village,43750
IL,Schaumburg village,74086
IL,Schiller Park village,49111
IL,Schram village,39063
IL,Sciota village,70625
IL,Scott AFB CDP,45114
IL,Scottville village,60313
IL,Seaton village,41250
IL,Seatonville village,51094
IL,Secor village,48906
IL,Seneca village,61458
IL,Sesser,39516
IL,Seymour CDP,26776
IL,Shabbona village,51944
IL,Shannon village,40938
IL,Shawneetown,29318
IL,Sheffield village,38125
IL,Shelbyville,38359
IL,Sheldon village,36827
IL,Sheridan village,56528
IL,Sherman village,88313
IL,Sherrard village,55833
IL,Shiloh village,80383
IL,Shipman town,63125
IL,Shorewood village,93955
IL,Shumway village,40417
IL,Sibley village,39750
IL,Sidell village,42639
IL,Sidney village,54375
IL,Sigel town,52500
IL,Silvis,43976
IL,Simpson village,31875
IL,Sims village,42917
IL,Skokie village,66999
IL,Sleepy Hollow village,94250
IL,Smithboro village,45208
IL,Smithfield village,39375
IL,Smithton village,84702
IL,Somonauk village,56799
IL,Sorento village,25375
IL,South Barrington village,173650
IL,South Beloit,64525
IL,South Chicago Heights village,32286
IL,South Elgin village,89694
IL,Southern View village,43750
IL,South Holland village,66010
IL,South Jacksonville village,55602
IL,South Pekin village,45875
IL,South Roxana village,41000
IL,South Wilmington village,62917
IL,Sparland village,46607
IL,Sparta,37264
IL,Spaulding village,83333
IL,Spillertown village,35250
IL,Spring Bay village,47500
IL,Springerton village,46125
IL,Springfield,49868
IL,Spring Grove village,105595
IL,Spring Valley,43583
IL,Standard village,39250
IL,Standard village,32375
IL,Stanford village,56875
IL,Staunton,41523
IL,Steeleville village,53667
IL,Steger village,43118
IL,Sterling,39679
IL,Steward village,55938
IL,Stewardson village,48456
IL,Stickney village,51491
IL,Stillman Valley village,58056
IL,Stockton village,37500
IL,Stonefort village,37083
IL,Stone Park village,36097
IL,Stonington village,58125
IL,Stoy village,44116
IL,Strasburg village,51563
IL,Strawn village,52500
IL,Streamwood village,74854
IL,Streator,39935
IL,Stronghurst village,44583
IL,Sublette village,43750
IL,Sugar Grove village,108609
IL,Sullivan,38351
IL,Summerfield village,57500
IL,Summit village,42070
IL,Sumner,33125
IL,Sun River Terrace village,23906
IL,Swansea village,68078
IL,Sycamore,64080
IL,Symerton village,56250
IL,Table Grove village,48571
IL,Tallula village,58333
IL,Tamaroa village,36761
IL,Tamms village,23333
IL,Tampico village,36061
IL,Taylor Springs village,40208
IL,Taylorville,42480
IL,Tennessee village,48906
IL,Teutopolis village,68750
IL,Thawville village,50625
IL,Thayer village,51429
IL,Thebes village,21875
IL,The Galena Territory CDP,92721
IL,Third Lake village,109375
IL,Thomasboro village,46912
IL,Thompsonville village,35795
IL,Thomson village,56250
IL,Thornton village,45650
IL,Tilden village,36513
IL,Tilton village,42361
IL,Timberlane village,120625
IL,Time village,35938
IL,Tinley Park village,74215
IL,Tiskilwa village,46500
IL,Toledo village,36450
IL,Tolono village,66635
IL,Toluca,46250
IL,Tonica village,49327
IL,Topeka village,51250
IL,Toulon,42875
IL,Tovey village,38452
IL,Towanda village,52813
IL,Tower Hill village,44028
IL,Tower Lakes village,152917
IL,Tremont village,52647
IL,Trenton,63621
IL,Trout Valley village,148750
IL,Troy,69137
IL,Troy Grove village,54286
IL,Tuscola,49734
IL,Twin Grove CDP,102554
IL,Ullin village,20781
IL,Union village,64688
IL,Union Hill village,111875
IL,University Park village,45062
IL,Urbana,32105
IL,Ursa village,42778
IL,Valier village,38000
IL,Valley village,-
IL,Valmeyer village,74554
IL,Vandalia,42194
IL,Varna village,46000
IL,Venedy village,56250
IL,Venetian Village CDP,64663
IL,Venice,20505
IL,Vergennes village,35536
IL,Vermilion village,30833
IL,Vermont village,47000
IL,Vernon village,29375
IL,Vernon Hills village,92201
IL,Verona village,62188
IL,Versailles village,52847
IL,Victoria village,44000
IL,Vienna,33438
IL,Villa Grove,42500
IL,Villa Park village,70176
IL,Viola village,58088
IL,Virden,43617
IL,Virgil village,95750
IL,Virginia,46375
IL,Volo village,90131
IL,Wadsworth village,87303
IL,Waggoner village,30000
IL,Walnut village,50714
IL,Walnut Hill village,28750
IL,Walshville village,41250
IL,Waltonville village,40000
IL,Wamac,29188
IL,Wapella village,47500
IL,Warren village,47266
IL,Warrensburg village,58500
IL,Warrenville,75517
IL,Warsaw,46827
IL,Washburn village,46917
IL,Washington,71964
IL,Washington Park village,26136
IL,Wataga village,46250
IL,Waterloo,73765
IL,Waterman village,66172
IL,Watseka,36511
IL,Watson village,43438
IL,Wauconda village,74646
IL,Waukegan,45845
IL,Waverly,47375
IL,Wayne village,145074
IL,Wayne village,45707
IL,Waynesville village,60375
IL,Weldon village,41750
IL,Wellington village,44167
IL,Wenona,50972
IL,Wenonah village,77813
IL,West Brooklyn village,57813
IL,Westchester village,71479
IL,West Chicago,69071
IL,West village,33462
IL,West Dundee village,79250
IL,Western Springs village,141607
IL,Westervelt CDP,31389
IL,Westfield village,43333
IL,West Frankfort,33784
IL,Westmont village,55767
IL,West Peoria,42500
IL,West Point village,41696
IL,West Salem village,43897
IL,West Union CDP,46146
IL,Westville village,41831
IL,West York CDP,40481
IL,Wheaton,85705
IL,Wheeler village,39583
IL,Wheeling village,56110
IL,Whiteash CDP,43438
IL,White village,39375
IL,White Hall,35833
IL,White Heath CDP,41250
IL,Williamsfield village,50625
IL,Williamson village,35000
IL,Williamsville village,84342
IL,Willisville village,26250
IL,Willowbrook village,66163
IL,Willowbrook CDP,64650
IL,Willow Hill village,30865
IL,Willow Springs village,77770
IL,Wilmette village,132110
IL,Wilmington village,35625
IL,Wilmington,56007
IL,Wilsonville village,28810
IL,Winchester,41250
IL,Windsor village,54583
IL,Windsor,38403
IL,Winfield village,91409
IL,Winnebago village,70417
IL,Winnetka village,211773
IL,Winslow village,40750
IL,Winthrop Harbor village,77837
IL,Witt,43472
IL,Wonder Lake village,72150
IL,Wood Dale,62964
IL,Woodhull village,57188
IL,Woodland village,41923
IL,Woodlawn village,51250
IL,Woodridge village,77182
IL,Wood River,41349
IL,Woodson village,53438
IL,Woodstock,56355
IL,Worden village,53945
IL,Worth village,55702
IL,Wyanet village,40917
IL,Wyoming,39850
IL,Xenia village,40625
IL,Yale village,48250
IL,Yates village,52188
IL,Yorkville,89850
IL,Zeigler,34036
IL,Zion,46313
IN,Aberdeen CDP,105550
IN,Advance town,50625
IN,Akron town,39531
IN,Alamo town,(X)
IN,Albany town,45813
IN,Albion town,44097
IN,Alexandria,39241
IN,Alfordsville town,33750
IN,Alton town,30000
IN,Altona town,36875
IN,Ambia town,35208
IN,Amboy town,38000
IN,Americus CDP,63558
IN,Amo town,52500
IN,Anderson,33644
IN,Andrews town,30417
IN,Angola,40107
IN,Arcadia town,41853
IN,Argos town,43672
IN,Arlington CDP,(X)
IN,Ashley town,38857
IN,Atlanta town,45893
IN,Attica,37019
IN,Auburn,44889
IN,Aurora,37429
IN,Austin,34313
IN,Avilla town,48807
IN,Avoca CDP,85417
IN,Avon town,91393
IN,Bainbridge town,50781
IN,Bargersville town,70833
IN,Bass Lake CDP,44375
IN,Batesville,54464
IN,Battle Ground town,73750
IN,Bedford,37706
IN,Beech Grove,36487
IN,Berne,44737
IN,Bethany town,41250
IN,Beverly Shores town,72500
IN,Bicknell,26979
IN,Birdseye town,31563
IN,Blanford CDP,(X)
IN,Bloomfield town,37500
IN,Bloomingdale town,47500
IN,Bloomington,30019
IN,Blountsville town,37639
IN,Bluffton,40692
IN,Boonville,42955
IN,Borden town,52614
IN,Boston town,(X)
IN,Boswell town,39375
IN,Bourbon town,39107
IN,Brazil,28797
IN,Bremen town,45341
IN,Bright CDP,65278
IN,Bristol town,46750
IN,Brook town,41827
IN,Brooklyn town,52417
IN,Brooksburg town,(X)
IN,Brookston town,44453
IN,Brookville town,38333
IN,Brownsburg town,65651
IN,Brownstown town,38565
IN,Bruceville town,52054
IN,Bryant town,40625
IN,Buck Creek CDP,(X)
IN,Buffalo CDP,49943
IN,Bunker Hill town,34583
